YMD	YMDT	DPS	AREA	TYPE_OCCUR	TYPE_CAUSE	TYPE_SHIP	WEATHER	POS	COUNT	RESCUE	INJURY	DEATH	DISAPPER	위도_도	위도_분	위도_초	경도_도	경도_분	경도_초	LAT	LON	LAT_DBC	LON_DBC
20140131	20140131 19:30	동해	영해-EEZ	안전저해	운항부주의	어선	양호	독도 남동 11마일	1	10	0	0	0	37	7	42	132	2	2	37.12833	132.03389	37|07|42	132|02|02
20140201	20140201 7:10	인천	항계내	운항저해	관리소홀	어선	양호	인천광역시 남동구 소래포구 소래대교 인근해상	1	0	0	0	0	37	22	15	126	42	8	37.37083	126.70222	37|22|15	126|42|08
20140203	20140203 10:30	제주	영해-EEZ	안전저해	운항부주의	기타	풍랑주의보	차귀도 서방 15해리(33-18N 125-50E)	1	2	0	0	0	33	18	0	125	50	0	33.30000	125.83333	33|18|00	125|50|00
20140203	20140203 16:18	제주	영해-EEZ	키손상	정비불량	유조선	황천4급	차귀도 남서방 60해리(32-48N 125-04E)	1	15	0	0	0	32	48	0	125	4	0	32.80000	125.06667	32|48|00	125|04|00
20140204	20140204 12:25	통영	항계내	인명사상	기타	어선	풍랑주의보	경남 통영시 욕지면 남방 4.5해리	1	1	0	1	0	34	32	0	128	16	20	34.53333	128.27222	34|32|00	128|16|20
20140204	20140204 13:00	부산	항계내	해양오염	기타	유조선	양호	부산항 4부두 앞 해상	1	0	0	0	0	35	7	0	129	3	4	35.11667	129.05111	35|07|00	129|03|04
20140204	20140204 13:40	부산	항계내	해양오염	기타	예부선	양호	부산시 영도구 봉래동 물양장	1	0	0	0	0	35	5	45	129	2	26	35.09583	129.04056	35|05|45	129|02|26
20140205	20140205 13:20	여수	영해	전복	기타	예부선	양호	전남 고흥군 금산면 신전리 소재 우두마을~연흥도 사이 해상	2	2	0	1	0	34	26	50	127	5	44	34.44722	127.09556	34|26|50	127|05|44
20140205	20140205 16:07	울산	영해-EEZ	기관손상	정비불량	어선	풍랑주의보	대변 동방 38해리	1	5	0	0	0	35	10	30	130	0	80	35.17500	130.02222	35|10|30	130|00|80
20140205	20140205 20:50	서귀포	영해	인명사상	기타	유조선	양호	표선 남동방 10해리	1	0	0	1	0	33	15	0	127	3	0	33.25000	127.05000	33|15|00	127|03|00
20140206	20140206 12:00	서귀포	공해	안전저해	운항부주의	어선	풍랑주의보	서귀포 남서방 210해리(30-10N 124-47E)	1	9	0	0	0	30	10	0	124	47	0	30.16667	124.78333	30|10|00	124|47|00
20140207	20140207 3:06	통영	영해-EEZ	충돌	운항부주의	어선	양호	남해도 남방 15.5해리 해상	2	18	0	0	0	34	26	50	128	1	35	34.44722	128.02639	34|26|50	128|01|35
20140207	20140207 9:16	부산	항계내	기타	관리소홀	화물선	양호	감천항 35번 선석 앞 해상	1	0	0	0	0	35	4	0	129	0	0	35.06667	129.00000	35|04|00	129|00|00
20140207	20140207 13:30	완도	영해	운항저해	기타	어선	저시정	완도군 생일면 유서리 해안가 약 20m	1	2	0	0	0	34	20	24	126	58	33	34.34000	126.97583	34|20|24	126|58|33
20140207	20140207 14:27	울산	항계내	충돌	운항부주의	화물선	풍랑주의보	울산항 일반부두 7번선석해상	2	30	0	0	0	35	30	0	129	23	0	35.50000	129.38333	35|30|00	129|23|00
20140207	20140207 17:49	동해	항계내	화재	정비불량	어선	양호	묵호항 31번 선석	1	18	0	0	0	37	32	55	129	6	49	37.54861	129.11361	37|32|55	129|6|49
20140207	20140207 20:30	서귀포	영해-EEZ	기관손상	정비불량	어선	황천4급	마라도 남서 50해리(32-28N 125-35E)	1	10	0	0	0	32	28	0	125	35	0	32.46667	125.58333	32|28|00	125|35|00
20140208	20140208 20:20	목포	협수로	시설물손상	기타	기타	양호	신안군 압해음 송공리 송공항 남방 3마일 해상	1	0	0	0	0	34	47	84	126	13	76	34.80667	126.23778	34|47|84	126|13|76
20140210	20140210 13:50	군산	항계내	해양오염	재질불량	유조선	양호	군산 비응도동 현대중공업 조선소 서쪽 안벽 해상	1	10	0	0	0	35	58	24	126	32	11	35.97333	126.53639	35|58|24	126|32|11
20140210	20140210 14:00	제주	영해	인명사상	기타	어선	황천4급	추자 북동방 3.4해리	1	5	1	1	0	33	59	0	126	24	0	33.98333	126.40000	33|59|00	126|24|00
20140211	20140211 2:04	속초	항계내	화재	관리소홀	어선	풍랑주의보	속초시 청호동 청초항 속초파출소 앞 어선부두	1	1	0	0	0	38	12	0	128	35	39	38.20000	128.59417	38|12|00	128|35|39
20140211	20140211 8:00	울산	항계내	해양오염	관리소홀	유조선	풍랑주의보	울산 장생포항 구 동사무소 앞 해상	1	5	0	0	0	35	29	58	129	22	17	35.49944	129.37139	35|29|58	129|22|17
20140211	20140211 11:50	완도	항계내	화재	정비불량	어선	양호	완도군 완도읍 군내리 1부두	1	0	0	0	0	34	19	27	126	44	56	34.32417	126.74889	34|19|27	126|44|56
20140211	20140211 17:55	제주	영해-EEZ	안전저해	운항부주의	어선	풍랑주의보	서귀포시 마라도 남서 30해리(32-46N, 125-50E)	1	10	0	0	0	32	46	0	125	50	0	32.76667	125.83333	32|46|00	125|50|00
20140212	20140212 7:20	포항	영해	전복	기상악화	어선	황천4급	포항시 남구 장기면 영암3리 항내	1	1	0	1	0	35	54	0	129	31	0	35.90000	129.51667	35|54|00	129|31|00
20140212	20140212 11:07	속초	영해	인명사상	기타	어선	양호	속초시 동명동 영금정 동방 0.7마일	1	0	0	1	0	38	11	50	128	37	10	38.19722	128.61944	38|11|50	128|37|10
20140212	20140212 18:50	목포	협수로	충돌	운항부주의	어선	양호	진도군 불무도 남동방 약 0.3마일 해상	2	3	1	0	0	34	19	71	126	10	68	34.33639	126.18556	34|19|71	126|10|68
20140212	20140212 19:58	포항	영해-EEZ	키손상	정비불량	어선	양호	강구동방 15해리	1	4	0	0	0	36	19	0	129	42	0	36.31667	129.70000	36|19|00	129|42|00
20140213	20140213 5:20	여수	영해	인명사상	기타	어선	양호	전남 여수시 거문도 남방 3.2마일 해상	1	26	1	0	1	33	56	23	127	18	76	33.93972	127.32111	33|56|23	127|18|76
20140213	20140213 19:20	태안	영해	운항저해	정비불량	예부선	양호	충남 보령시 삽시도 남서방 1.5해리	1	4	0	0	0	36	19	0	126	20	0	36.31667	126.33333	36|19|00	126|20|00
20140214	20140214 16:30	서귀포	영해-EEZ	안전저해	운항부주의	어선	풍랑주의보	마라도 남방 35해리(Fix N32-31 E126.07)	1	10	0	0	0	32	31	0	126	7	0	32.51667	126.11667	32|31|00	126|07|00
20140214	20140214 17:13	인천	항계내	기관손상	운항부주의	어선	양호	경기도 시흥시 소래포구 앞 2km 앞 해상	1	1	0	0	0	37	21	16	126	41	86	37.35444	126.70722	37|21|16	126|41|86
20140214	20140214 23:48	태안	항계내	침수	관리소홀	어선	양호	충남 태안군 신진항 유람선 선착장	1	0	0	0	0	36	40	0	126	8	0	36.66667	126.13333	36|40|00	126|08|00
20140215	20140215 14:16	부산	영해	충돌	기상악화	화물선	풍랑주의보	부산 남외항 N-5 묘박지	2	23	0	0	0	35	0	45	129	2	40	35.01250	129.04444	35|00|45	129|02|40
20140217	20140217 8:35	평택	협수로	안전저해	운항부주의	기타	양호	경기 안산시 단원구 풍도 남동방 약 1.2해리 해상	1	5	0	0	0	37	4	40	126	23	59	37.07778	126.39972	37|04|40	126|23|59
20140217	20140217 12:00	제주	항계내	해양오염	기타	어선	황천5급	제주항 2부두 앞 해상	1	0	0	0	0	126	32	0	33	32	0	126.53333	33.53333	126|32|00	33|32|00
20140217	20140217 18:50	목포	항계내	화재	기타	기타	양호	전남 영암군 삼호읍 대불부두 CC조선소	1	6	0	0	0	24	46	37	126	25	13	24.77694	126.42028	24|46|37	126|25|13
20140218	20140218 7:05	여수	협수로	침수	관리소홀	유조선	양호	전남 여수시 돌산읍 우두리 돌산 우두리 해경전용부두 동편 부두	1	2	0	0	0	34	44	10	127	44	37	34.73611	127.74361	34|44|10	127|44|37
20140218	20140218 9:40	동해	영해	인명사상	기타	어선	풍랑주의보	독도남방 1.5마일	1	8	1	0	0	37	12	0	131	51	0	37.20000	131.85000	37|12|00	131|51|00
20140218	20140218 15:50	목포	협수로	키손상	기타	여객선	양호	전남 해남군 시하도 인근해상	1	89	0	0	0	34	41	9	126	15	7	34.68583	126.25194	34|41|09	126|15|07
20140218	20140218 20:52	부산	항계내	화재	기타	어선	양호	부사시 사하구 다대포 미광냉동 앞 계류장	1	0	0	0	0	35	3	18	128	58	21	35.05500	128.97250	35|03|18	128|58|21
